鑒앴몸鑒		頓契珂쇌
1		0취

2		0취

3		0취

4		0취

5		0취

6		0취

7		0취

8		0취

9		0취

10		0취

20		0취

30		0취

40		0취

50		0취

60		0취

70		0취

80		0취

90		0취

100		0취

200		0취

300		0취

400		0취

500		0취

600		0취

700		0취

800		0취

900		0.001취

1000		0취

2000		0.001취

3000		0취

4000		0.001취

5000		0.001취

6000		0.002취

7000		0.001취

8000		0.002취

9000		0.002취

10000		0.002취

20000		0.006취

30000		0.008취

40000		0.012취

50000		0.013취

60000		0.017취

70000		0.022취

80000		0.025취

90000		0.026취

100000		0.027취

200000		0.057취

300000		0.092취

400000		0.121취

500000		0.161취

600000		0.198취

700000		0.259취

800000		0.285취

900000		0.305취

1000000		0.335취

2000000		0.693취

3000000		1.067취

4000000		1.378취

5000000		1.779취

6000000		2.114취

7000000		2.471취

8000000		2.905취

9000000		3.194취

10000000		3.58취

20000000		7.295취

30000000		11.255취

40000000		15.295취

50000000		19.22취

60000000		22.808취

70000000		26.74취

80000000		31.302취

90000000		35.549취

100000000		38.385취

190000000		71.995취

		
