鑒앴몸鑒		頓契珂쇌
1		0취

2		0취

3		0취

4		0취

5		0취

6		0취

7		0취

8		0취

9		0취

10		0취

20		0취

30		0취

40		0취

50		0취

60		0취

70		0취

80		0취

90		0취

100		0취

200		0취

300		0취

400		0취

500		0취

600		0취

700		0취

800		0.001취

900		0.001취

1000		0취

2000		0.003취

3000		0.006취

4000		0.012취

5000		0.017취

6000		0.025취

7000		0.033취

8000		0.052취

9000		0.062취

10000		0.068취

20000		0.27취

30000		0.601취

40000		1.047취

50000		1.647취

60000		2.368취

70000		3.293취

80000		4.244취

90000		5.363취

100000		6.606취

200000		26.561취

300000		64.445취

400000		104.375취

500000		185.518취

600000		283.986취

700000		318.473취

800000		414.458취

900000		537.6취

1000000		667.858취

2000000		2803.14취

3000000		5893.86취

4000000		10427.2취

5000000		16287.7취

